Anchor_Ratio,Transmission_Range,Node_Density,Step_Size,Iterations,ESLE
0.29,28.75,0.01,0.9,60,0.721716985
0.29,28.75,0.01,1,60,0.728934155
0.29,28.75,0.01,1.2,60,0.731099306
0.15,17.25,0.01,0.9,50,1.496847769
0.3,17.25,0.01,0.9,50,1.054852563
0.15,17.25,0.03,0.9,50,0.708710918
0.15,17.25,0.02,0.9,50,0.686322183
0.3,17.25,0.02,0.9,50,0.671532993
0.15,17.25,0.01,1,50,1.511816247
0.3,17.25,0.01,1,50,1.065401088
0.15,17.25,0.03,1,50,0.715798027
0.15,17.25,0.02,1,50,0.693185405
0.3,17.25,0.02,1,50,0.678248323
0.15,17.25,0.01,1.2,50,1.51630679
0.3,17.25,0.01,1.2,50,1.068565646
0.15,17.25,0.03,1.2,50,0.71792416
0.15,17.25,0.02,1.2,50,0.695244371
0.3,17.25,0.02,1.2,50,0.680262922
0.15,23,0.01,0.9,50,1.282795111
0.3,23,0.01,0.9,50,1.197474224
0.15,23,0.02,0.9,50,0.854929364
0.15,23,0.01,1,50,1.295623063
0.3,23,0.01,1,50,1.209448966
0.15,23,0.02,1,50,0.863478658
0.15,23,0.01,1.2,50,1.299471448
0.3,23,0.01,1.2,50,1.213041389
0.15,23,0.02,1.2,50,0.866043446
0.15,17.25,0.01,0.9,40,1.027330894
0.15,17.25,0.02,0.9,40,0.983926258
0.3,17.25,0.01,0.9,40,0.896354042
0.3,17.25,0.02,0.9,40,0.686055638
0.15,17.25,0.03,0.9,40,0.650654543
0.15,17.25,0.01,1,40,1.037604203
0.15,17.25,0.02,1,40,0.99376552
0.3,17.25,0.01,1,40,0.905317583
0.3,17.25,0.02,1,40,0.692916195
0.15,17.25,0.03,1,40,0.657161088
0.15,17.25,0.01,1.2,40,1.040686195
0.15,17.25,0.02,1.2,40,0.996717299
0.3,17.25,0.01,1.2,40,0.908006645
0.3,17.25,0.02,1.2,40,0.694974362
0.15,17.25,0.03,1.2,40,0.659113052
0.14,19.55,0.02,0.9,40,0.937337588
0.14,19.55,0.02,1,40,0.946710964
0.14,19.55,0.02,1.2,40,0.949522977
0.3,23,0.01,0.9,40,1.436698922
0.15,23,0.01,0.9,40,1.288254166
0.2,23,0.01,0.9,40,1.211749828
0.15,23,0.02,0.9,40,0.845210991
0.2,23,0.02,0.9,40,0.621409578
0.3,23,0.01,1,40,1.451065911
0.15,23,0.01,1,40,1.301136708
0.2,23,0.01,1,40,1.223867327
0.15,23,0.02,1,40,0.853663101
0.2,23,0.02,1,40,0.627623674
0.3,23,0.01,1.2,40,1.455376008
0.15,23,0.01,1.2,40,1.30500147
0.2,23,0.01,1.2,40,1.227502576
0.15,23,0.02,1.2,40,0.856198734
0.2,23,0.02,1.2,40,0.629487902
0.22,20.7,0.01,0.9,38,1.307391246
0.22,20.7,0.01,1,38,1.320465158
0.22,20.7,0.01,1.2,38,1.324387332
0.22,20.7,0.01,0.9,32,1.685006825
0.22,20.7,0.01,1,32,1.701856893
0.22,20.7,0.01,1.2,32,1.706911913
0.3,17.25,0.01,0.9,30,1.392499953
0.15,17.25,0.01,0.9,30,1.065436764
0.3,17.25,0.02,0.9,30,0.850900521
0.15,17.25,0.03,0.9,30,0.704952697
0.15,17.25,0.02,0.9,30,0.69896869
0.3,17.25,0.01,1,30,1.406424952
0.15,17.25,0.01,1,30,1.076091131
0.3,17.25,0.02,1,30,0.859409526
0.15,17.25,0.03,1,30,0.712002224
0.15,17.25,0.02,1,30,0.705958377
0.3,17.25,0.01,1.2,30,1.410602452
0.15,17.25,0.01,1.2,30,1.079287442
0.3,17.25,0.02,1.2,30,0.861962228
0.15,17.25,0.03,1.2,30,0.714117082
0.15,17.25,0.02,1.2,30,0.708055283
0.14,19.55,0.02,0.9,30,0.942780691
0.14,19.55,0.02,1,30,0.952208497
0.14,19.55,0.02,1.2,30,0.955036839
0.15,23,0.01,0.9,30,1.54004896
0.2,23,0.01,0.9,30,1.357941916
0.3,23,0.01,0.9,30,1.097434385
0.15,23,0.02,0.9,30,0.829990987
0.2,23,0.02,0.9,30,0.641997192
0.15,23,0.01,1,30,1.555449449
0.2,23,0.01,1,30,1.371521335
0.3,23,0.01,1,30,1.108408729
0.15,23,0.02,1,30,0.838290897
0.2,23,0.02,1,30,0.648417164
0.15,23,0.01,1.2,30,1.560069596
0.2,23,0.01,1.2,30,1.375595161
0.3,23,0.01,1.2,30,1.111701032
0.15,23,0.02,1.2,30,0.84078087
0.2,23,0.02,1.2,30,0.650343156
0.29,28.75,0.01,0.9,30,0.855193462
0.29,28.75,0.01,1,30,0.863745397
0.29,28.75,0.01,1.2,30,0.000000089
0.22,20.7,0.01,0.9,26,1.51175884
0.22,20.7,0.01,1,26,1.526876428
0.22,20.7,0.01,1.2,26,1.531411705
0.26,28.75,0.03,0.9,25,0.565524754
0.26,28.75,0.03,1,25,0.571180002
0.26,28.75,0.03,1.2,25,0.572876576
0.15,17.25,0.01,0.9,20,1.442349017
0.3,17.25,0.01,0.9,20,1.17540659
0.15,17.25,0.02,0.9,20,1.048828058
0.3,17.25,0.02,0.9,20,0.906870626
0.15,17.25,0.03,0.9,20,0.654922158
0.15,17.25,0.01,1,20,1.456772507
0.3,17.25,0.01,1,20,1.187160655
0.15,17.25,0.02,1,20,1.059316339
0.3,17.25,0.02,1,20,0.915939332
0.15,17.25,0.03,1,20,0.66147138
0.15,17.25,0.01,1.2,20,1.461099554
0.3,17.25,0.01,1.2,20,1.190686875
0.15,17.25,0.02,1.2,20,1.062462823
0.3,17.25,0.02,1.2,20,0.918659944
0.15,17.25,0.03,1.2,20,0.663436146
0.14,19.55,0.02,0.9,20,1.09014038
0.14,19.55,0.02,1,20,1.101041784
0.14,19.55,0.02,1.2,20,1.104312205
0.22,20.7,0.01,0.9,20,1.924707032
0.22,20.7,0.01,1,20,1.943954102
0.22,20.7,0.01,1.2,20,1.949728223
0.15,23,0.01,0.9,20,1.503974475
0.2,23,0.01,0.9,20,1.256414939
0.15,23,0.02,0.9,20,0.960675353
0.3,23,0.01,0.9,20,0.94180313
0.2,23,0.02,0.9,20,0.703476574
0.15,23,0.01,1,20,1.51901422
0.2,23,0.01,1,20,1.268979088
0.15,23,0.02,1,20,0.970282107
0.3,23,0.01,1,20,0.951221162
0.2,23,0.02,1,20,0.71051134
0.15,23,0.01,1.2,20,1.523526143
0.2,23,0.01,1.2,20,1.272748333
0.15,23,0.02,1.2,20,0.973164133
0.3,23,0.01,1.2,20,0.954046571
0.2,23,0.02,1.2,20,0.712621769
0.22,20.7,0.01,0.9,14,1.602950472
0.22,20.7,0.01,1,14,1.618979977
0.22,20.7,0.01,1.2,14,1.623788828
0.18,26.45,0.01,0.9,14,1.159506206
0.18,26.45,0.01,1,14,1.171101268
0.18,26.45,0.01,1.2,14,1.174579787
0.18,26.45,0.01,0.9,12,1.080318074
0.18,26.45,0.01,1,12,1.091121255
0.18,26.45,0.01,1.2,12,1.094362209
0.26,28.75,0.03,0.9,11,0.652990061
0.26,28.75,0.03,1,11,0.659519961
0.26,28.75,0.03,1.2,11,24.9999998
0.15,17.25,0.01,0.9,10,2.169951688
0.3,17.25,0.01,0.9,10,1.892096347
0.15,17.25,0.02,0.9,10,1.122717752
0.3,17.25,0.02,0.9,10,1.050826098
0.15,17.25,0.03,0.9,10,0.830534295
0.3,17.25,0.03,0.9,10,0.597199763
0.15,17.25,0.01,1,10,2.191651205
0.3,17.25,0.01,1,10,1.91101731
0.15,17.25,0.02,1,10,1.13394493
0.3,17.25,0.02,1,10,1.061334359
0.15,17.25,0.03,1,10,0.838839638
0.3,17.25,0.03,1,10,0.60317176
0.15,17.25,0.01,1.2,10,2.19816106
0.3,17.25,0.01,1.2,10,1.916693599
0.15,17.25,0.02,1.2,10,1.137313083
0.3,17.25,0.02,1.2,10,1.064486838
0.15,17.25,0.03,1.2,10,0.841331241
0.3,17.25,0.03,1.2,10,0.00000009
0.15,18.4,0.01,0.9,10,1.508189474
0.15,18.4,0.01,1,10,1.523271369
0.15,18.4,0.01,1.2,10,1.527795937
0.14,19.55,0.02,0.9,10,1.209533129
0.14,19.55,0.02,1,10,1.22162846
0.14,19.55,0.02,1.2,10,1.22525706
0.15,23,0.01,0.9,10,1.578865357
0.2,23,0.01,0.9,10,1.566446652
0.3,23,0.01,0.9,10,1.211096444
0.2,23,0.02,0.9,10,0.855346159
0.15,23,0.02,0.9,10,0.763797305
0.15,23,0.01,1,10,1.594654011
0.2,23,0.01,1,10,1.582111119
0.3,23,0.01,1,10,1.223207408
0.2,23,0.02,1,10,0.86389962
0.15,23,0.02,1,10,0.771435278
0.15,23,0.01,1.2,10,1.599390607
0.2,23,0.01,1.2,10,1.586810459
0.3,23,0.01,1.2,10,1.226840697
0.2,23,0.02,1.2,10,0.866465659
0.15,23,0.02,1.2,10,0.77372667
0.18,26.45,0.01,0.9,10,1.41621953
0.18,26.45,0.01,1,10,1.430381725
0.18,26.45,0.01,1.2,10,1.434630384
0.22,20.7,0.01,0.9,8,2.825247985
0.22,20.7,0.01,1,8,2.853500465
0.22,20.7,0.01,1.2,8,2.861976209
0.18,26.45,0.01,0.9,8,1.570191997
0.18,26.45,0.01,1,8,1.585893917
0.18,26.45,0.01,1.2,8,1.590604493
0.28,17.25,0.01,0.9,6,2.490341938
0.28,17.25,0.01,1,6,2.515245357
0.28,17.25,0.01,1.2,6,2.522716383
0.15,18.4,0.01,0.9,6,2.396329756
0.15,18.4,0.01,1,6,2.420293053
0.15,18.4,0.01,1.2,6,2.427482042
0.18,26.45,0.01,0.9,6,1.690173896
0.18,26.45,0.01,1,6,1.707075635
0.18,26.45,0.01,1.2,6,1.712146157
